name,price,time
家樂福迷你蔬菜蘇打餅乾-140g,$20,Sun Nov 14 11:50:07 2021
家樂福蔓越莓果乾酥餅180g,$79,Sun Nov 14 11:50:07 2021
家樂福紅藜蘇打餅乾170g,$79,Sun Nov 14 11:50:07 2021
家樂福櫻桃果乾酥餅180g,$79,Sun Nov 14 11:50:07 2021
家樂福迷你原味蘇打餅乾-140g,$20,Sun Nov 14 11:50:07 2021
家樂福杏桃果乾酥餅180g,$79,Sun Nov 14 11:50:07 2021
家樂福奇亞籽黑胡椒蘇打餅乾170g,$79,Sun Nov 14 11:50:07 2021
家樂福葡萄果乾酥餅180g,$79,Sun Nov 14 11:50:07 2021
家樂福小精靈牛奶巧克力奶油餅乾,$69,Sun Nov 14 11:50:07 2021
禾法頌南法Cordes杏仁香脆餅乾90g,$129,Sun Nov 14 11:50:07 2021
禾法頌科西嘉島小榛果餅乾300g,$129,Sun Nov 14 11:50:07 2021
奧利奧夾心餅乾隨手包-原味-257g(28.5gx9),$80,Sun Nov 14 11:50:07 2021
麗滋檸檬餅乾隨手包243g(27gx9),$83,Sun Nov 14 11:50:07 2021
奧利奧夾心餅乾隨手包-草莓-257g(28.5gx9),$80,Sun Nov 14 11:50:07 2021
海太加鈣營養餅乾-197g,$51,Sun Nov 14 11:50:07 2021
中祥自然之顏蔬菜餅乾量販包,$89,Sun Nov 14 11:50:07 2021
明治燕麥蘇打餅乾-26gx4,$49,Sun Nov 14 11:50:07 2021
明治Lucky巧克力口味棒狀餅乾-45g,$25,Sun Nov 14 11:50:07 2021
義美天然取向蘇打餅乾(鮮蔥),$72,Sun Nov 14 11:50:07 2021
義美美味蘇打餅乾-鮮蔥,$48,Sun Nov 14 11:50:07 2021
義美美味蘇打餅乾-紫菜,$48,Sun Nov 14 11:50:07 2021
原味巡禮紫菜夾心蘇打餅乾144g,$49,Sun Nov 14 11:50:07 2021
ACE五穀牛奶夾心餅乾-128g,$56,Sun Nov 14 11:50:07 2021
義美起司取向蘇打餅乾300g,$62,Sun Nov 14 11:50:07 2021
